Month;Export;Import;CPI Index;Government Bond Yield;Unemployment rate;IPI index;HOSE Index
2004-01;16.5;45.83;10.86;16.44;52.75;18.5;33.4
2004-02;22.25;21.5;6.43;17.89;38.13;38.67;25.6
2004-03;35.75;26.33;24.14;33.33;47;33.33;36.2
2004-04;52.13;32.33;32.14;7.11;61.63;21.67;30.1
2004-05;24;36.17;24.43;7.89;41.25;17;18.9
2004-06;16.88;45.67;13.71;3.78;43.13;24.83;36.8
2004-07;9.25;25;17;6.33;38.88;33;20.1
2004-08;15.38;37.17;8.57;7.56;33.5;14.17;37.4
2004-09;18.75;24.33;16.86;12.22;27.13;17.83;29.3
2004-10;28.63;30.33;20;16.67;55.88;27;13.3
2004-11;33.38;34.83;26.14;5.56;25;28.33;16.6
2004-12;26;38;39.57;11.67;28;28.17;11.1
2005-01;25.88;33.17;41.14;7.56;34;19.83;21.5
2005-02;14.5;25.5;19;14.89;22.75;15.5;23.1
2005-03;23.63;33.67;14.57;13;54.38;15.17;15
2005-04;29.25;26.83;26.29;10.11;27.25;19.33;15.8
2005-05;27.13;45.5;32.29;9.44;27.13;18.17;21.1
2005-06;10.75;32;30.1;4;24.88;11.67;24.4
2005-07;20.88;36.17;19.86;16.22;27;29.33;16.5
2005-08;27;21.17;28.57;7;16.88;11.83;24
2005-09;14.88;13.67;27.14;19.67;39.88;18.67;20.3
2005-10;33.38;30.83;31.71;23.89;30.38;29.67;13.7
2005-11;25.13;30.33;12;9.56;20.88;18.5;18.3
2005-12;32.88;32.17;17.29;17.67;20.38;14.67;20.5
2006-01;24;25.33;8.14;11.22;21.13;14.83;24.1
2006-02;20.75;45;9.14;12;23.63;28;16.9
2006-03;31.63;33;6.43;29.56;34;20;30.9
2006-04;41.25;41.33;8.43;17.67;21.25;20.33;20.8
2006-05;27.88;44.5;15.71;29.33;16.25;12.33;33.1
2006-06;20.5;35.67;19.86;13.11;24.5;12.83;14.8
2006-07;13.38;32.67;3.86;22.89;13.25;16.17;20.6
