Date;Export;Import ;CPI Index;Government 10Y Bond Yield;Unemployment rate;Industrial Production Index;HOSE Index 
15.01.01;1091;1052;33.3;5.77;5.538;52.58;174.26
15.02.01;1120;1150;33.44;5.13;5.527;52.14;168.4
15.03.01;1321;1380;33.19;5.13;5.515;54.86;188.78
15.04.01;1310;1370;33.03;5.97;5.503;55.79;210.57
15.05.01;1320;1450;32.97;5.44;5.492;58.46;278.55
15.06.01;1370;1460;32.97;5.93;5.48;60.04;339.69
15.07.01;1410;1400;32.91;5.76;5.458;61.06;332.52
15.08.01;1450;1420;32.91;5.32;5.435;60.89;255.3
15.09.01;1600;1480;33.08;5.82;5.413;60.39;182.9
15.10.01;1560;1421;33.03;5.5;5.39;60.01;178.47
15.11.01;1180;1380;33.11;5.14;5.368;57.55;209.89
15.12.01;1301;1458;33.38;5.21;5.345;56.76;182.06
15.01.02;1480;1300;33.75;5.59;5.323;58.06;165.47
15.02.02;950;1120;34.51;6.11;5.3;52.78;134.17
15.03.02;1250;1350;34.22;6.44;5.278;57.73;132.36
15.04.02;1320;1380;34.22;6.65;5.255;60.45;148.25
15.05.02;1400;1550;34.34;6.67;5.233;61.72;160.04
15.06.02;1420;1560;34.39;6.48;5.21;62.95;134.11
15.07.02;1400;1550;34.34;6.96;5.191;64.64;151.06
15.08.02;1500;1650;34.39;6.86;5.172;63.69;140.66
15.09.02;1610;1721;34.43;6.51;5.153;63.55;130.78
15.10.02;1500;1670;34.55;6.04;5.133;60.04;137.89
15.11.02;1520;1750;34.64;6.24;5.114;60.79;123.14
15.12.02;1540;1828;34.77;6.87;5.095;62.23;135.15
15.01.03;1615;1624;35.06;6.12;5.076;62.2;134.89
15.02.03;1250;1400;35.81;6.09;5.057;57.15;111.92
15.03.03;1600;1670;35.61;6.93;5.038;62.69;110.99
15.04.03;1560;1800;35.61;6.51;5.018;64.26;109.78
15.05.03;1620;2200;35.56;6.54;4.999;67.21;113.12
15.06.03;1700;2050;35.48;6.64;4.98;67.96;106.4
15.07.03;1630;1950;35.35;6.03;4.965;70.95;115.24
15.08.03;1720;1950;35.35;6.37;4.95;68.31;99.79
15.09.03;1950;1940;35.35;6.89;4.935;71.42;103.3
15.10.03;1620;1920;35.31;7.98;4.92;68.98;103.69
15.11.03;1660;2050;35.52;7.16;4.905;66.35;99.94
15.12.03;1709;2250;35.81;7.68;4.89;67.49;126.48
15.01.04;1672;1860;36.19;7.73;4.875;63.41;133.08
15.02.04;1700;1830;37.28;7.38;4.86;64.66;150.1
15.03.04;1900;2200;37.58;7.34;4.845;70.57;203.32
15.04.04;1870;2300;37.75;7.12;4.83;69.43;191.84
